groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
transc,4,sentence-pre,,,11247.389999975,1,,
transc,4,sentence-pre,,,11549.109999964,1,,
transc,4,sentence-pre,,,14254.330000025,1,,
transc,4,recall-pre,2,6,14239.40000002,0,RYTSKH,TYTPS
transc,4,sentence-pre,,,10415.825000033,1,,
transc,4,sentence-pre,,,9205.8500000276,1,,
transc,4,sentence-pre,,,7237.4249999993,1,,
transc,4,sentence-pre,,,11929.914999986,0,,
transc,4,sentence-pre,,,16287.700000044,0,,
transc,4,sentence-pre,,,15887.589999998,0,,
transc,4,recall-pre,3,6,8615.8600000199,1,YJPNKR,YJPNKR
transc,4,sentence-pre,,,,0,,
transc,4,sentence-pre,,,6731.2400000519,1,,
transc,4,sentence-pre,,,5421.3350000209,0,,
transc,4,sentence-pre,,,7136.9100000011,1,,
transc,4,sentence-pre,,,6420.8000000217,1,,
transc,4,recall-pre,4,5,8355.4850000073,1,JQNHK,JQNHK
transc,4,sentence-pre,,,13087.380000041,1,,
transc,4,sentence-pre,,,6138.9400000335,0,,
transc,4,sentence-pre,,,8589.7850000183,0,,
transc,4,sentence-pre,,,8056.3749999856,0,,
transc,4,sentence-pre,,,10441.959999967,0,,
transc,4,recall-pre,5,5,9078.5599999945,1,KJQYT,KJQYT
transc,4,sentence-pre,,,14639.855000016,1,,
transc,4,sentence-pre,,,9339.9250000366,0,,
transc,4,sentence-pre,,,7815.5649999972,1,,
transc,4,sentence-pre,,,9352.4949999992,1,,
transc,4,recall-pre,6,4,6376.4349999838,0,YPLQ,YKLQ
transc,4,sentence-post,,,5226.5049999696,1,,
transc,4,sentence-post,,,7444.0749999485,1,,
transc,4,sentence-post,,,5683.2249999861,1,,
transc,4,sentence-post,,,8269.570000004,0,,
transc,4,sentence-post,,,6262.4799999758,1,,
transc,4,recall-post,1,5,6876.484999957,1,NSTLK,NSTLK
transc,4,sentence-post,,,7398.6900000018,1,,
transc,4,sentence-post,,,9041.2350000115,1,,
transc,4,sentence-post,,,4958.964999998,0,,
transc,4,sentence-post,,,7293.0350000388,0,,
transc,4,recall-post,2,4,8342.650000006,0,FHLN,FHNL
transc,4,sentence-post,,,7832.7500000014,1,,
transc,4,sentence-post,,,7448.8399999682,0,,
transc,4,sentence-post,,,9645.6750000361,1,,
transc,4,sentence-post,,,4166.1150000291,1,,
transc,4,sentence-post,,,7614.6949999966,0,,
transc,4,sentence-post,,,5479.0350000258,1,,
transc,4,recall-post,3,6,10152.780000004,0,SPQYRJ,SPQYJ
transc,4,sentence-post,,,6850.1149999793,1,,
transc,4,sentence-post,,,8842.2599999467,0,,
transc,4,sentence-post,,,4777.6850000373,1,,
transc,4,sentence-post,,,3546.1549999891,1,,
transc,4,sentence-post,,,9069.0699999686,1,,
transc,4,recall-post,4,5,6407.0749999955,1,QSJNT,QSJNT
transc,4,sentence-post,,,9242.4350000219,0,,
transc,4,sentence-post,,,4088.459999999,1,,
transc,4,sentence-post,,,7174.9800000107,0,,
transc,4,sentence-post,,,7652.7450000285,1,,
transc,4,recall-post,5,4,7386.3649999839,1,JNRP,JNRP
transc,4,sentence-post,,,6394.0300000249,1,,
transc,4,sentence-post,,,5492.0549999806,1,,
transc,4,sentence-post,,,5470.9300000104,1,,
transc,4,sentence-post,,,9890.3750000172,0,,
transc,4,sentence-post,,,5328.1849999912,1,,
transc,4,sentence-post,,,5175.1850000001,0,,
transc,4,recall-post,6,6,9902.379999985,1,TLJSKN,TLJSKN
transc,8,sentence-pre,,,4136.4650000178,1,,
transc,8,sentence-pre,,,3665.089999995,1,,
transc,8,sentence-pre,,,3968.5400000017,1,,
transc,8,sentence-pre,,,5539.9749999924,1,,
transc,8,recall-pre,1,4,6176.3400000054,1,LHKS,LHKS
transc,8,sentence-pre,,,3822.5300000049,1,,
transc,8,sentence-pre,,,4453.7999999884,1,,
transc,8,sentence-pre,,,4328.8900000043,1,,
transc,8,sentence-pre,,,4508.8450000039,1,,
transc,8,recall-pre,2,4,10186.329999997,0,JRKF,LJNF
transc,8,sentence-pre,,,4722.3650000233,1,,
transc,8,sentence-pre,,,5194.8350000021,1,,
transc,8,sentence-pre,,,2738.7500000186,1,,
transc,8,sentence-pre,,,4212.6550000103,1,,
transc,8,sentence-pre,,,5917.8400000092,1,,
transc,8,recall-pre,3,5,6637.0600000082,0,PQNRJ,PQ_NJ
transc,8,sentence-pre,,,5066.1349999718,1,,
transc,8,sentence-pre,,,5313.6249999807,1,,
transc,8,sentence-pre,,,3671.8549999932,1,,
transc,8,sentence-pre,,,4882.2999999975,1,,
transc,8,sentence-pre,,,3892.285000009,1,,
transc,8,recall-pre,4,5,6691.9000000053,1,QTFHY,QTFHY
transc,8,sentence-pre,,,5870.4800000123,1,,
transc,8,sentence-pre,,,5121.7750000069,1,,
transc,8,sentence-pre,,,5063.7300000235,1,,
transc,8,sentence-pre,,,4416.7400000151,1,,
transc,8,sentence-pre,,,6258.9150000131,1,,
