,groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled,sim,dist
191,transc,4,sentence-post,,,7832.7500000014,1,,,1.0,0.0
192,transc,4,sentence-post,,,7448.8399999682,0,,,1.0,0.0
193,transc,4,sentence-post,,,9645.6750000361,1,,,1.0,0.0
194,transc,4,sentence-post,,,4166.1150000291,1,,,1.0,0.0
195,transc,4,sentence-post,,,7614.6949999966,0,,,1.0,0.0
196,transc,4,sentence-post,,,5479.0350000258,1,,,1.0,0.0
197,transc,4,recall-post,3.0,6.0,10152.780000004,0,SPQYRJ,SPQYJ,0.8333333333333334,0.16666666666666666
198,transc,4,sentence-post,,,6850.1149999793,1,,,1.0,0.0
199,transc,4,sentence-post,,,8842.2599999467,0,,,1.0,0.0
200,transc,4,sentence-post,,,4777.6850000373,1,,,1.0,0.0
201,transc,4,sentence-post,,,3546.1549999891,1,,,1.0,0.0
202,transc,4,sentence-post,,,9069.0699999686,1,,,1.0,0.0
203,transc,4,recall-post,4.0,5.0,6407.0749999955,1,QSJNT,QSJNT,1.0,0.0
204,transc,4,sentence-post,,,9242.4350000219,0,,,1.0,0.0
205,transc,4,sentence-post,,,4088.459999999,1,,,1.0,0.0
206,transc,4,sentence-post,,,7174.9800000107,0,,,1.0,0.0
207,transc,4,sentence-post,,,7652.7450000285,1,,,1.0,0.0
208,transc,4,recall-post,5.0,4.0,7386.3649999839,1,JNRP,JNRP,1.0,0.0
209,transc,4,sentence-post,,,6394.0300000249,1,,,1.0,0.0
210,transc,4,sentence-post,,,5492.0549999806,1,,,1.0,0.0
211,transc,4,sentence-post,,,5470.9300000104,1,,,1.0,0.0
212,transc,4,sentence-post,,,9890.3750000172,0,,,1.0,0.0
213,transc,4,sentence-post,,,5328.1849999912,1,,,1.0,0.0
214,transc,4,sentence-post,,,5175.1850000001,0,,,1.0,0.0
215,transc,4,recall-post,6.0,6.0,9902.379999985,1,TLJSKN,TLJSKN,1.0,0.0
216,transc,8,sentence-pre,,,4136.4650000178,1,,,1.0,0.0
217,transc,8,sentence-pre,,,3665.089999995,1,,,1.0,0.0
218,transc,8,sentence-pre,,,3968.5400000017,1,,,1.0,0.0
219,transc,8,sentence-pre,,,5539.9749999924,1,,,1.0,0.0
220,transc,8,recall-pre,1.0,4.0,6176.3400000054,1,LHKS,LHKS,1.0,0.0
221,transc,8,sentence-pre,,,3822.5300000049,1,,,1.0,0.0
222,transc,8,sentence-pre,,,4453.7999999884,1,,,1.0,0.0
223,transc,8,sentence-pre,,,4328.8900000043,1,,,1.0,0.0
224,transc,8,sentence-pre,,,4508.8450000039,1,,,1.0,0.0
225,transc,8,recall-pre,2.0,4.0,10186.329999997,0,JRKF,LJNF,0.25,0.75
226,transc,8,sentence-pre,,,4722.3650000233,1,,,1.0,0.0
227,transc,8,sentence-pre,,,5194.8350000021,1,,,1.0,0.0
228,transc,8,sentence-pre,,,2738.7500000186,1,,,1.0,0.0
229,transc,8,sentence-pre,,,4212.6550000103,1,,,1.0,0.0
230,transc,8,sentence-pre,,,5917.8400000092,1,,,1.0,0.0
231,transc,8,recall-pre,3.0,5.0,6637.0600000082,0,PQNRJ,PQ_NJ,0.6,0.4
232,transc,8,sentence-pre,,,5066.1349999718,1,,,1.0,0.0
233,transc,8,sentence-pre,,,5313.6249999807,1,,,1.0,0.0
234,transc,8,sentence-pre,,,3671.8549999932,1,,,1.0,0.0
235,transc,8,sentence-pre,,,4882.2999999975,1,,,1.0,0.0
236,transc,8,sentence-pre,,,3892.285000009,1,,,1.0,0.0
237,transc,8,recall-pre,4.0,5.0,6691.9000000053,1,QTFHY,QTFHY,1.0,0.0
238,transc,8,sentence-pre,,,5870.4800000123,1,,,1.0,0.0
239,transc,8,sentence-pre,,,5121.7750000069,1,,,1.0,0.0
240,transc,8,sentence-pre,,,5063.7300000235,1,,,1.0,0.0
241,transc,8,sentence-pre,,,4416.7400000151,1,,,1.0,0.0
242,transc,8,sentence-pre,,,6258.9150000131,1,,,1.0,0.0
243,transc,8,sentence-pre,,,5951.0399999854,1,,,1.0,0.0
244,transc,8,recall-pre,5.0,6.0,8884.4800000079,0,NSPLTJ,_LNQJ,0.16666666666666663,0.8333333333333334
245,transc,8,sentence-pre,,,7586.0199999879,1,,,1.0,0.0
246,transc,8,sentence-pre,,,5275.569999998,1,,,1.0,0.0
247,transc,8,sentence-pre,,,7270.4000000085,1,,,1.0,0.0
248,transc,8,sentence-pre,,,4228.2000000123,1,,,1.0,0.0
249,transc,8,sentence-pre,,,4339.799999987,1,,,1.0,0.0
250,transc,8,sentence-pre,,,3775.0150000211,1,,,1.0,0.0
251,transc,8,recall-pre,6.0,6.0,7404.0699999896,1,NRTLJY,NRTLJY,1.0,0.0
252,transc,8,sentence-post,,,4007.0150000104,1,,,1.0,0.0
253,transc,8,sentence-post,,,4289.5099999728,1,,,1.0,0.0
254,transc,8,sentence-post,,,3616.3599999854,1,,,1.0,0.0
255,transc,8,sentence-post,,,3543.425000011,1,,,1.0,0.0
256,transc,8,sentence-post,,,9305.8550000135,1,,,1.0,0.0
257,transc,8,sentence-post,,,5202.7299999897,1,,,1.0,0.0
258,transc,8,recall-post,1.0,6.0,21429.635000007,0,LYSNTK,LYSNT,0.8333333333333334,0.16666666666666666
259,transc,8,sentence-post,,,5434.6199999852,1,,,1.0,0.0
260,transc,8,sentence-post,,,7484.7599999919,0,,,1.0,0.0
261,transc,8,sentence-post,,,2510.7699999935,1,,,1.0,0.0
262,transc,8,sentence-post,,,3503.6600000169,1,,,1.0,0.0
263,transc,8,sentence-post,,,4296.3449999806,1,,,1.0,0.0
264,transc,8,recall-post,2.0,5.0,7581.0599999968,0,LPFRH,LYPRH,0.6,0.4
265,transc,8,sentence-post,,,7910.5850000056,0,,,1.0,0.0
266,transc,8,sentence-post,,,4641.9049999965,1,,,1.0,0.0
267,transc,8,sentence-post,,,3417.1300000157,1,,,1.0,0.0
268,transc,8,sentence-post,,,4543.3900000062,1,,,1.0,0.0
269,transc,8,recall-post,3.0,4.0,6850.4750000141,1,RJLF,RJLF,1.0,0.0
270,transc,8,sentence-post,,,3706.8199999919,1,,,1.0,0.0
271,transc,8,sentence-post,,,3019.2950000055,1,,,1.0,0.0
272,transc,8,sentence-post,,,3425.894999993,1,,,1.0,0.0
273,transc,8,sentence-post,,,4592.0299999993,1,,,1.0,0.0
