id_sujet,id_question_sub,reponse_sub_sujet,id_subject,back_1_level,back_2_level,oxford,typing_speed,age,sexe,groupe
50,3,50,50,0,0,0,0,0,F,Controle RSPAN
50,4,17,50,0,0,0,0,0,F,Controle RSPAN
50,5,65,50,0,0,0,0,0,F,Controle RSPAN
50,6,92,50,0,0,0,0,0,F,Controle RSPAN
47,1,100,47,2,4,24,0,0,F,Controle N-Back
47,2,18,47,2,4,24,0,0,F,Controle N-Back
47,3,0,47,2,4,24,0,0,F,Controle N-Back
47,4,12,47,2,4,24,0,0,F,Controle N-Back
47,5,28,47,2,4,24,0,0,F,Controle N-Back
47,6,78,47,2,4,24,0,0,F,Controle N-Back
49,1,100,49,1,2,0,0,0,F,Controle N-Back
49,2,63,49,1,2,0,0,0,F,Controle N-Back
49,3,52,49,1,2,0,0,0,F,Controle N-Back
49,4,8,49,1,2,0,0,0,F,Controle N-Back
49,5,67,49,1,2,0,0,0,F,Controle N-Back
49,6,98,49,1,2,0,0,0,F,Controle N-Back
51,1,90,51,2,4,0,0,0,F,Controle N-Back
51,2,31,51,2,4,0,0,0,F,Controle N-Back
51,3,78,51,2,4,0,0,0,F,Controle N-Back
51,4,60,51,2,4,0,0,0,F,Controle N-Back
51,5,60,51,2,4,0,0,0,F,Controle N-Back
51,6,85,51,2,4,0,0,0,F,Controle N-Back
